car_name,SKU,page_name,max_qty,current_qty,image_url,price
Paul George Hot Wheels Circle Tracker,HPH63,paul-george-hot-wheels-circle-tracker-hph63,1200,1121,https://cdn.shopify.com/s/files/1/0568/1132/3597/products/fdlorctw6qounns1qqua_c83aa7be-c30d-4502-a3c8-f437d9e3337c_600x600.jpg,28
RLC Exclusive Real Riders Wheels Pack – Set 4,HGK90,rlc-exclusive-real-riders-wheels-pack-set-4-hgk90,2078,1913,https://cdn.shopify.com/s/files/1/0568/1132/3597/products/yfjvabrsgoxabhakkunm_600x600.jpg,14
RLC Exclusive Hot Wheels Decal Pack,HGK91,rlc-exclusive-hot-wheels-decals-pack-hgk91,3810,3771,https://cdn.shopify.com/s/files/1/0568/1132/3597/products/gdur6zguslzwog8a8ipx_f036f952-42a5-4125-915b-9fe91b04163d_600x600.jpg,10.5
Hot Wheels R/C The Batman 1:64 Scale Batmobile Vehicle,HBL43,hot-wheels-rc-the-batman-1-64-scale-batmobile-vehicle-hbl43,345,259,https://cdn.shopify.com/s/files/1/0568/1132/3597/products/keeilqrafpld6atyys4j_600x600.jpg,17.5
Hot Wheels Premium Car Culture Fast Wagons Subaru Forester STI,JBK87,hot-wheels-premium-car-culture-subaru-forrester-sti-jbk87,4000,3394,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/270b5dfb6979332bc201dd6b95917b7d9ce7f56a_600x600.jpg,8
Hot Wheels Formula 1 Vehicle,JGN95,hot-wheels-f1-jgn95,2,0,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/tro6y84lzay43n4ba7nt_dab64fec-bb8f-4fb5-b6b0-46266a06ad3b_600x600.jpg,25
RLC Exclusive 1995 BMW M3 LTW,JCP08,rlc-1995-bmw-m3-ltw-jcp08,37000,770,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/iprbpkpmem5gtokkifdp_600x600.jpg,33
Hot Wheels &amp; F1 The Movie Vehicle,JMT03,hot-wheels-f1-the-movie-vehicle-jmt03,0,0,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/a0ia3osnzbrqjfaebaa0_0cc33021-652c-469a-a270-a4515c242c2a_600x600.jpg,25
Hot Wheels F1 Series: MoneyGram Haas F1 Team VF-24 Car #20,JBM10,hot-wheels-f1-series-moneygram-haas-f1-team-vf-24-car-20-jbm10,0,0,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/yzwxo7hhw9rq8hjuzndu_600x600.jpg,8
Hot Wheels F1 Series: Williams Racing FW46 Car #23,JBM15,hot-wheels-f1-series-williams-racing-fw46-car-23-jbm15,-1,-1,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/PDP_JBM15_Williams_001_600x600.jpg,8
